"","Plot.Code","m.rates.annual","region","Latitude.Decimal","Longitude.Decimal","plot.area","mycol"
"131","PTN-01",2.38161981512526,"3AMA_W",6.12,-74.673611,1,"#E18000CC"
"132","RCS-01",1.48942313791572,"3AMA_W",-9.47,-74.77305912,1,"#E18000CC"
"133","RCS-05",2.64147181526491,"3AMA_W",-9.62,-74.92966729,1,"#E18000CC"
"134","RET-05",1.69120400745485,"3AMA_W",-10.97,-65.715283,1,"#E18000CC"
"135","RET-06",2.14119814381838,"3AMA_W",-10.97,-65.715283,1,"#E18000CC"
"136","RET-08",1.73227839796078,"3AMA_W",-10.97,-65.715283,1,"#E18000CC"
"137","RET-09",1.28331532529656,"3AMA_W",-10.97,-65.715283,1,"#E18000CC"
"138","RFH-01",3.01837506415032,"3AMA_W",-9.75,-67.67189,1,"#E18000CC"
"139","RIO-03",1.21723100900973,"1AMA_GuSh",8.11,-61.692425,0.5,"#006600CC"
"140","RST-01",1.79670187930952,"3AMA_W",-9.04,-72.266722,1,"#E18000CC"
"141","SAA-01",2.42687340800255,"4AMA_BrSh",-9.79,-50.429118,1,"#004C99CC"
"142","SAA-02",2.84210625870623,"4AMA_BrSh",-9.64,-50.453861,1,"#004C99CC"
"143","SAT-01",1.38467379898225,"4AMA_BrSh",-9.84,-50.46434725,1,"#004C99CC"
"144","SCR-04",1.16921668319683,"1AMA_GuSh",1.93,-67.03615,1,"#006600CC"
"145","SCR-05",1.95252737379883,"1AMA_GuSh",1.93,-67.03828333,1,"#006600CC"
"146","SCT-01",2.64497033832843,"3AMA_W",-17.09,-64.768,1,"#E18000CC"
"147","SCT-06",3.53686320672414,"3AMA_W",-17.09,-64.768361,1,"#E18000CC"
"148","SMT-02",2.5883764484792,"4AMA_BrSh",-12.82,-51.7686,1,"#004C99CC"
"149","SMT-03",1.05329040269013,"4AMA_BrSh",-12.83,-51.7658,1,"#004C99CC"
"150","SUC-01",1.96501641922664,"3AMA_W",-3.25,-72.90779875,1,"#E18000CC"
"151","SUC-02",2.1735568848282,"3AMA_W",-3.25,-72.903944,1,"#E18000CC"
"152","SUC-03",2.42234334016989,"3AMA_W",-3.25,-72.916861,1,"#E18000CC"
"153","SUC-04",1.67309326812387,"3AMA_W",-3.25,-72.89117375,1,"#E18000CC"
"154","SUC-05",1.79584741132604,"3AMA_W",-3.26,-72.89411125,1,"#E18000CC"
"155","TAM-01",2.0099675354062,"3AMA_W",-12.84,-69.2884515,1,"#E18000CC"
"156","TAM-02",1.69178692885849,"3AMA_W",-12.83,-69.28616675,1,"#E18000CC"
"157","TAM-05",2.28670796951109,"3AMA_W",-12.83,-69.270597,1,"#E18000CC"
"158","TAM-06",1.5083524253244,"3AMA_W",-12.84,-69.29597225,0.96,"#E18000CC"
"159","TAM-07",2.50363084399777,"3AMA_W",-12.83,-69.261208,1,"#E18000CC"
"160","TAM-08",2.40256889063917,"3AMA_W",-12.83,-69.269396,1,"#E18000CC"
"161","TAM-09",2.75904870086164,"3AMA_W",-12.83,-69.28427775,1,"#E18000CC"
"162","TAN-02",3.70555470401813,"4AMA_BrSh",-13.08,-52.3771595,1,"#004C99CC"
"163","TAN-03",3.81221781450018,"4AMA_BrSh",-12.83,-52.35357275,1,"#004C99CC"
"164","TAN-04",3.66102088923923,"4AMA_BrSh",-12.92,-52.37272075,1,"#004C99CC"
"165","TAP-01",0.671805500047379,"2AMA_EC",-3.31,-54.94027778,1,"#F00000CC"
"166","TAP-02",0.656053070263002,"2AMA_EC",-3.31,-54.94527778,1,"#F00000CC"
"167","TAP-03",0.816214266110443,"2AMA_EC",-3.31,-54.94,1,"#F00000CC"
"168","TEC-01",1.25298877220064,"2AMA_EC",-1.71,-51.459244,1,"#F00000CC"
"169","TEC-02",0.468310204439254,"2AMA_EC",-1.74,-51.487554,1,"#F00000CC"
"170","TEC-03",0.855743292162216,"2AMA_EC",-1.73,-51.510252,1,"#F00000CC"
"171","TEC-04",1.4053975476215,"2AMA_EC",-1.75,-51.522228,1,"#F00000CC"
"172","TEC-05",0.904427746654827,"2AMA_EC",-1.78,-51.592114,1,"#F00000CC"
"173","TEC-06",1.49435250047309,"2AMA_EC",-1.73,-51.429854,1,"#F00000CC"
"174","TEM-01",1.44521370782506,"2AMA_EC",-2.97,-59.904263,1,"#F00000CC"
"175","TEM-03",0.893955406614637,"2AMA_EC",-2.41,-59.902307,1,"#F00000CC"
"176","TEM-04",1.26475365368663,"2AMA_EC",-2.43,-59.794262,1,"#F00000CC"
"177","TEM-05",1.93581976504913,"2AMA_EC",-2.62,-60.210031,1,"#F00000CC"
"178","TEM-06",1.46938682589518,"2AMA_EC",-2.6,-60.109148,1,"#F00000CC"
"179","TIP-02",1.62870306944628,"3AMA_W",-0.63,-76.1446,0.8,"#E18000CC"
"180","TIP-03",2.26001978187593,"3AMA_W",-0.64,-76.15433,1,"#E18000CC"
"181","TUC-01",0.728478351591015,"3AMA_W",-18.52,-60.811874,1,"#E18000CC"
"182","VCR-01",1.91543891538728,"4AMA_BrSh",-14.83,-52.1598,0.64,"#004C99CC"
"183","VCR-04",7.73170810377121,"4AMA_BrSh",-14.83,-52.169,1,"#004C99CC"
"184","YAN-01",3.0655230649427,"3AMA_W",-3.43,-72.84463267,1,"#E18000CC"
"185","YAN-02",1.6106711319733,"3AMA_W",-3.43,-72.844583,1,"#E18000CC"
"186","ZAR-01",1.34116299834658,"3AMA_W",-4.01,-69.90611,1,"#E18000CC"
"187","ZAR-02",2.12102895783914,"3AMA_W",-4,-69.903522,1,"#E18000CC"
"188","ZAR-03",1.3730109824855,"3AMA_W",-3.99,-69.899519,1,"#E18000CC"
"189","ZAR-04",2.21794860901162,"3AMA_W",-3.99,-69.905778,1,"#E18000CC"
